timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/08 14:30:40.762, 0 MiB, 16384 MiB, 0 %
2026/06/08 14:31:10.765, 0 MiB, 16384 MiB, 0 %
2026/06/08 14:31:40.768, 874 MiB, 16384 MiB, 2 %
2026/06/08 14:32:10.771, 3622 MiB, 16384 MiB, 5 %
2026/06/08 14:32:40.775, 14338 MiB, 16384 MiB, 100 %
2026/06/08 14:33:10.778, 14338 MiB, 16384 MiB, 100 %
2026/06/08 14:33:40.782, 14338 MiB, 16384 MiB, 100 %
2026/06/08 14:34:10.786, 14338 MiB, 16384 MiB, 100 %
2026/06/08 14:34:40.790, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:35:10.793, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:35:40.797, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:36:10.800, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:36:40.803, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:37:10.807, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:37:40.810, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:38:10.814, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:38:40.822, 14400 MiB, 16384 MiB, 84 %
2026/06/08 14:39:10.840, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:39:40.844, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:40:10.847, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:40:40.850, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:41:10.853, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:41:40.857, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:42:10.860, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:42:40.863, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:43:10.866, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:43:40.874, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:44:10.877, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:44:40.881, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:45:10.884, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:45:40.888, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:46:10.891, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:46:40.901, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:47:10.904, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:47:40.907, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:48:10.910, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:48:40.926, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:49:10.930, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:49:40.934, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:50:10.937, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:50:40.940, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:51:10.943, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:51:40.947, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:52:10.950, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:52:40.954, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:53:10.957, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:53:40.960, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:54:10.963, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:54:40.966, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:55:10.969, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:55:40.972, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:56:10.976, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:56:40.979, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:57:10.984, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:57:40.988, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:58:10.991, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:58:40.997, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:59:11.000, 14400 MiB, 16384 MiB, 100 %
2026/06/08 14:59:41.004, 14400 MiB, 16384 MiB, 100 %
2026/06/08 15:00:11.007, 14400 MiB, 16384 MiB, 100 %
